MonitoringLocationID,MonitoringLocationName,Date,Characteristic,Value,Unit,Latitude,Longitude,Year
EPA_R7_WQX-SC617,Drywood Creek near Garland,2024-09-26,Total Coliform,2419.6,MPN/100mL,37.694349,-94.648915,2024
EPA_R7_WQX-SC606,Pumpkin Creek near Coffeyville,2024-10-07,Escherichia coli,50.4,MPN/100mL,37.04245,-95.54884,2024
21NEB001_WQX-SLB1LBLUE000,"Little Blue River west of Hollenberg, KS",2024-10-08,Chloride,151.0,mg/L,39.980149,-97.003893,2024
21NEB001_WQX-SLB1LBLUE000,"Little Blue River west of Hollenberg, KS",2024-06-24,Specific conductance,347.0,umho/cm,39.980149,-97.003893,2024
EPA_R7_WQX-SC571,Labette Creek near Chetopa,2024-10-09,Dissolved oxygen (DO),5.3,mg/L,37.07454,-95.10293,2024
PRAIRIEBAND-SCO7,Big Soldier Creek #7,2024-07-31,"Total Nitrogen, mixed forms",0.29,mg/L,39.2658,-95.8864,2024
PEORIAWATER-N3,Neosho River 3,2024-08-07,pH,8.27,,37.034843598,-95.0735833821,2024
21NEB001_WQX-SLB1LBLUE000,"Little Blue River west of Hollenberg, KS",2024-10-08,Velocity-discharge,14.3,cfs,39.980149,-97.003893,2024
21NEB001_WQX-SLB1LBLUE000,"Little Blue River west of Hollenberg, KS",2024-04-15,Calcium,65.2,mg/L,39.980149,-97.003893,2024
21NEB001_WQX-SRE1REPUB000,Republican River south of Hardy,2024-09-02,Kjeldahl nitrogen,0.714,mg/L,39.992569,-97.931967,2024
EPA_R7_WQX-SC555,Marais des Cygnes River near Richter,2024-09-24,pH,7.6,,38.596973,-95.378526,2024
PEORIAWATER-N3,Neosho River 3,2024-02-08,"Temperature, air",68.0,deg C,37.034843598,-95.0735833821,2024
EPA_R7_WQX-SC697,Middle Creek near New Lancaster,2024-10-08,Conductivity,305.0,mS/cm,38.43938,-94.76829,2024
EPA_R7_WQX-HSG1,HSG Upstream,2024-09-16,Manganese,307.0,ug/L,39.0483786107,-94.8831062758,2024
PRAIRIEBAND-LSCO3,Little Soldier Creek #3,2024-07-10,Iron,0.48,mg/L,39.3225,-95.7758,2024
21NEB001_WQX-SLB1LBLUE000,"Little Blue River west of Hollenberg, KS",2024-06-03,"Total Phosphorus, mixed forms",1.6,mg/L,39.980149,-97.003893,2024
21NEB001_WQX-SLB1LBLUE000,"Little Blue River west of Hollenberg, KS",2024-08-26,Dissolved oxygen (DO),9.0,mg/L,39.980149,-97.003893,2024
PRAIRIEBAND-LSCO3,Little Soldier Creek #3,2024-07-17,Fluoride,0.25,mg/L,39.3225,-95.7758,2024
EPA_R7_WQX-SC571,Labette Creek near Chetopa,2024-09-25,Total Coliform,2419.6,MPN/100mL,37.07454,-95.10293,2024
PRAIRIEBAND-SCO7,Big Soldier Creek #7,2024-07-25,Aluminum,0.4,mg/L,39.2658,-95.8864,2024
11NPSWRD_WQX-HTLN_TAPR_LFC35,TAPR Lower Fox Creek Site 35,2024-08-12,"Temperature, water",1.33873,deg C,38.435821,-96.549659,2024
EPA_R7_WQX-SC617,Drywood Creek near Garland,2024-09-23,Turbidity,14.2,NTU,37.694349,-94.648915,2024
EPA_R7_WQX-SC577,Dragoon Creek near Burlingame,2024-10-10,Dissolved oxygen (DO),7.3,mg/L,38.69917,-95.77882,2024
21NEB001_WQX-SRE1REPUB000,Republican River south of Hardy,2024-04-10,Nickel,5.33,ug/L,39.992569,-97.931967,2024
EPA_R7_WQX-SC555,Marais des Cygnes River near Richter,2024-10-10,pH,7.78,,38.596973,-95.378526,2024
PRAIRIEBAND-SCO3,Big Soldier Creek #3,2024-07-10,pH,8.24,,39.3758,-95.9183,2024
EPA_R7_WQX-SC564,Labette Creek near Labette,2024-09-25,Turbidity,7.7,NTU,37.22995,-95.1975,2024
11NPSWRD_WQX-HTLN_TAPR_LFC35,TAPR Lower Fox Creek Site 35,2024-05-07,"Temperature, water",0.18892,deg C,38.435821,-96.549659,2024
